Index,Sentence_index,Sentence,POS_Tagged_Tokens,Lemmas
9648,771,,they[PRP],they
9649,771,,'re[VBP],'re
9650,771,,reliable[JJ],reliable
9651,771,,:[:],:
9652,771,,bananas[NNS],banana
9653,771,,are[VBP],be
9654,771,,grown[VBN],grow
9655,771,,year-round[RB],year-round
9656,771,,in[IN],in
9657,771,,tropical[JJ],tropical
9658,771,,climates[NNS],climate
9659,771,,and[CC],and
9660,771,,are[VBP],be
9661,771,,consistently[RB],consistently
9662,771,,available[JJ],available
9663,771,,",[,]",","
9664,771,,affordable[JJ],affordable
9665,771,,",[,]",","
9666,771,,and[CC],and
9667,771,,nutritious[JJ],nutritious
9668,771,,.[.],.
9669,771,"While not ""seasonal"" in the same way citrus is, they are always a good staple.",while[IN],while
9670,772,,not[RB],not
9671,772,,``[``],``
9672,772,,seasonal[JJ],seasonal
9673,772,,''[''],''
9674,772,,in[IN],in
9675,772,,the[DT],the
9676,772,,same[JJ],same
9677,772,,way[NN],way
9678,772,,citrus[NN],citrus
9679,772,,is[VBZ],be
9680,772,,",[,]",","
9681,772,,they[PRP],they
9682,772,,are[VBP],be
9683,772,,always[RB],always
9684,772,,a[DT],a
9685,772,,good[JJ],good
9686,772,,staple[NN],staple
9687,772,,.[.],.
9688,772,4.,4[CD],4
9689,773,,.[.],.
9690,773,Kiwi:,kiwi[NN],kiwi
9691,774,,:[:],:
9692,774,"Why they're a good choice: Kiwis are harvested in various regions globally, ensuring a steady supply through winter.",why[WRB],why
9693,775,,they[PRP],they
9694,775,,'re[VBP],'re
9695,775,,a[DT],a
9696,775,,good[JJ],good
9697,775,,choice[NN],choice
9698,775,,:[:],:
9699,775,,kiwis[NN],kiwi
9700,775,,are[VBP],be
9701,775,,harvested[VBN],harvest
9702,775,,in[IN],in
9703,775,,various[JJ],various
9704,775,,regions[NNS],region
9705,775,,globally[RB],globally
9706,775,,",[,]",","
9707,775,,ensuring[VBG],ensure
9708,775,,a[DT],a
9709,775,,steady[JJ],steady
9710,775,,supply[NN],supply
9711,775,,through[IN],through
9712,775,,winter[NN],winter
9713,775,,.[.],.
9714,775,They're packed with Vitamin C and have a unique sweet-tart flavor.,they[PRP],they
9715,776,,'re[VBP],'re
9716,776,,packed[VBN],pack
9717,776,,with[IN],with
9718,776,,vitamin[JJ],vitamin
9719,776,,c[NN],c
9720,776,,and[CC],and
9721,776,,have[VBP],have
9722,776,,a[DT],a
9723,776,,unique[JJ],unique
9724,776,,sweet-tart[JJ],sweet-tart
9725,776,,flavor[NN],flavor
9726,776,,.[.],.
9727,776,What to generally avoid (for peak flavor) in winter:,what[WP],what
9728,777,,to[TO],to
9729,777,,generally[RB],generally
9730,777,,avoid[VB],avoid
9731,777,,([(],(
9732,777,,for[IN],for
9733,777,,peak[NN],peak
9734,777,,flavor[NN],flavor
9735,777,,)[)],)
9736,777,,in[IN],in
9737,777,,winter[NN],winter
9738,777,,:[:],:
9739,777,"Most Berries (Strawberries, Raspberries, Blueberries): While available, they are often imported from far away (South America) and can be expensive, bland, watery, or mushy compared to their in-season counterparts.",most[JJS],most
9740,778,,berries[NNS],berry
9741,778,,([(],(
9742,778,,strawberries[NNS],strawberry
9743,778,,",[,]",","
9744,778,,raspberries[NNS],raspberry
9745,778,,",[,]",","
9746,778,,blueberries[NNS],blueberry
9747,778,,)[)],)
9748,778,,:[:],:
9749,778,,while[IN],while
9750,778,,available[JJ],available
9751,778,,",[,]",","
9752,778,,they[PRP],they
9753,778,,are[VBP],be
9754,778,,often[RB],often
9755,778,,imported[VBN],import
9756,778,,from[IN],from
9757,778,,far[RB],far
9758,778,,away[RB],away
9759,778,,([(],(
9760,778,,south[JJ],south
9761,778,,america[NN],america
9762,778,,)[)],)
9763,778,,and[CC],and
9764,778,,can[MD],can
9765,778,,be[VB],be
9766,778,,expensive[JJ],expensive
9767,778,,",[,]",","
9768,778,,bland[NN],bland
9769,778,,",[,]",","
9770,778,,watery[NN],watery
9771,778,,",[,]",","
9772,778,,or[CC],or
9773,778,,mushy[NNS],mushy
9774,778,,compared[VBN],compare
9775,778,,to[TO],to
9776,778,,their[PRP$],their
9777,778,,in-season[JJ],in-season
9778,778,,counterparts[NNS],counterpart
9779,778,,.[.],.
9780,778,"Melons (Watermelon, Cantaloupe, Honeydew): Similarly, these are often expensive and lack flavor when bought out of their summer season.",melons[NNS],melon
9781,779,,([(],(
9782,779,,watermelon[NN],watermelon
9783,779,,",[,]",","
9784,779,,cantaloupe[NN],cantaloupe
9785,779,,",[,]",","
9786,779,,honeydew[NN],honeydew
9787,779,,)[)],)
9788,779,,:[:],:
9789,779,,similarly[RB],similarly
9790,779,,",[,]",","
9791,779,,these[DT],these
9792,779,,are[VBP],be
9793,779,,often[RB],often
9794,779,,expensive[JJ],expensive
9795,779,,and[CC],and
9796,779,,lack[JJ],lack
9797,779,,flavor[NN],flavor
9798,779,,when[WRB],when
9799,779,,bought[VBD],buy
9800,779,,out[IN],out
9801,779,,of[IN],of
9802,779,,their[PRP$],their
9803,779,,summer[NN],summer
9804,779,,season[NN],season
9805,779,,.[.],.
9806,779,"In summary, if you want the freshest, most flavorful, and best-value fruit experience in Colorado in the winter, load up on citrus!",in[IN],in
9807,780,,summary[JJ],summary
9808,780,,",[,]",","
9809,780,,if[IN],if
9810,780,,you[PRP],you
9811,780,,want[VBP],want
9812,780,,the[DT],the
9813,780,,freshest[JJS],fresh
9814,780,,",[,]",","
9815,780,,most[RBS],most
9816,780,,flavorful[JJ],flavorful
9817,780,,",[,]",","
9818,780,,and[CC],and
9819,780,,best-value[JJ],best-value
9820,780,,fruit[NN],fruit
9821,780,,experience[NN],experience
9822,780,,in[IN],in
9823,780,,colorado[NN],colorado
9824,780,,in[IN],in
9825,780,,the[DT],the
9826,780,,winter[NN],winter
9827,780,,",[,]",","
9828,780,,load[VBZ],load
9829,780,,up[RP],up
9830,780,,on[IN],on
9831,780,,citrus[NN],citrus
9832,780,,![.],!
9833,780,"To find the ""most pleasant"" winter hikes in Colorado, we need to consider several factors: accessibility, snow conditions, sun exposure, avalanche risk, and scenic beauty.",to[TO],to
9834,781,,find[VB],find
9835,781,,the[DT],the
9836,781,,``[``],``
9837,781,,most[JJS],most
9838,781,,pleasant[JJ],pleasant
9839,781,,''[''],''
9840,781,,winter[NN],winter
9841,781,,hikes[NNS],hike
9842,781,,in[IN],in
9843,781,,colorado[NN],colorado
9844,781,,",[,]",","
9845,781,,we[PRP],we
9846,781,,need[VBP],need
9847,781,,to[TO],to
9848,781,,consider[VB],consider
9849,781,,several[JJ],several
9850,781,,factors[NNS],factor
9851,781,,:[:],:
9852,781,,accessibility[NN],accessibility
9853,781,,",[,]",","
9854,781,,snow[JJ],snow
9855,781,,conditions[NNS],condition
9856,781,,",[,]",","
9857,781,,sun[NN],sun
9858,781,,exposure[NN],exposure
9859,781,,",[,]",","
9860,781,,avalanche[NN],avalanche
9861,781,,risk[NN],risk
9862,781,,",[,]",","
9863,781,,and[CC],and
9864,781,,scenic[JJ],scenic
9865,781,,beauty[NN],beauty
9866,781,,.[.],.
9867,781,"Many high-elevation trails become extreme, avalanche-prone, or simply impassable.",many[JJ],many
9868,782,,high-elevation[NN],high-elevation
9869,782,,trails[NNS],trail
9870,782,,become[VBP],become
9871,782,,extreme[JJ],extreme
9872,782,,",[,]",","
9873,782,,avalanche-prone[JJ],avalanche-prone
9874,782,,",[,]",","
9875,782,,or[CC],or
9876,782,,simply[RB],simply
9877,782,,impassable[JJ],impassable
9878,782,,.[.],.
9879,782,"For a truly pleasant winter hike in Colorado, look for trails that are:",for[IN],for
9880,783,,a[DT],a
9881,783,,truly[NN],truly
9882,783,,pleasant[JJ],pleasant
9883,783,,winter[NN],winter
9884,783,,hike[NN],hike
9885,783,,in[IN],in
9886,783,,colorado[NN],colorado
9887,783,,",[,]",","
9888,783,,look[NN],look
9889,783,,for[IN],for
9890,783,,trails[NNS],trail
9891,783,,that[WDT],that
9892,783,,are[VBP],be
9893,783,,:[:],:
9894,783,1.,1[CD],1
9895,784,,.[.],.
9896,784,"Lower Elevation: Below 9,000-10,000 feet often means less extreme cold, less snow depth, and less risk of severe winter conditions.",lower[JJR],low
9897,785,,elevation[NN],elevation
9898,785,,:[:],:
9899,785,,below[IN],below
9900,785,,"9,000-10,000[CD]","9,000-10,000"
9901,785,,feet[NNS],foot
9902,785,,often[RB],often
9903,785,,means[VBZ],mean
9904,785,,less[RBR],less
9905,785,,extreme[JJ],extreme
9906,785,,cold[NN],cold
9907,785,,",[,]",","
9908,785,,less[JJR],less
9909,785,,snow[JJ],snow
9910,785,,depth[NN],depth
9911,785,,",[,]",","
9912,785,,and[CC],and
9913,785,,less[JJR],less
9914,785,,risk[NN],risk
9915,785,,of[IN],of
9916,785,,severe[JJ],severe
9917,785,,winter[NN],winter
9918,785,,conditions[NNS],condition
9919,785,,.[.],.
9920,785,2.,2[CD],2
9921,786,,.[.],.
9922,786,"South-Facing Slopes: These get more sun, which means warmer temperatures and often less ice/snow on the trail itself.",south-facing[JJ],south-facing
9923,787,,slopes[NNS],slope
9924,787,,:[:],:
9925,787,,these[DT],these
9926,787,,get[VB],get
9927,787,,more[JJR],more
9928,787,,sun[NN],sun
9929,787,,",[,]",","
9930,787,,which[WDT],which
9931,787,,means[VBZ],mean
9932,787,,warmer[JJR],warm
9933,787,,temperatures[NNS],temperature
9934,787,,and[CC],and
9935,787,,often[RB],often
9936,787,,less[JJR],less
9937,787,,ice/snow[JJ],ice/snow
9938,787,,on[IN],on
9939,787,,the[DT],the
9940,787,,trail[NN],trail
9941,787,,itself[PRP],itself
9942,787,,.[.],.
9943,787,3.,3[CD],3
9944,788,,.[.],.
9945,788,Well-Trafficked: Packed snow is easier to walk on with microspikes than post-holing through deep powder.,well-trafficked[JJ],well-trafficked
9946,789,,:[:],:
9947,789,,packed[VBN],pack
9948,789,,snow[NN],snow
9949,789,,is[VBZ],be
9950,789,,easier[JJR],easy
9951,789,,to[TO],to
9952,789,,walk[VB],walk
9953,789,,on[IN],on
9954,789,,with[IN],with
9955,789,,microspikes[NNS],microspikes
9956,789,,than[IN],than
9957,789,,post-holing[JJ],post-holing
9958,789,,through[IN],through
9959,789,,deep[JJ],deep
9960,789,,powder[NN],powder
9961,789,,.[.],.
9962,789,It also means you're less likely to get lost.,it[PRP],it
9963,790,,also[RB],also
9964,790,,means[VBZ],mean
9965,790,,you[PRP],you
9966,790,,'re[VBP],'re
9967,790,,less[RBR],less
9968,790,,likely[JJ],likely
9969,790,,to[TO],to
9970,790,,get[VB],get
9971,790,,lost[VBN],lose
9972,790,,.[.],.
9973,790,4.,4[CD],4
9974,791,,.[.],.
9975,791,"Low Avalanche Risk: Avoid steep, open slopes, especially after fresh snow.",low[JJ],low
9976,792,,avalanche[NN],avalanche
9977,792,,risk[NN],risk
9978,792,,:[:],:
9979,792,,avoid[JJ],avoid
9980,792,,steep[NN],steep
9981,792,,",[,]",","
9982,792,,open[JJ],open
9983,792,,slopes[NNS],slope
9984,792,,",[,]",","
9985,792,,especially[RB],especially
9986,792,,after[IN],after
9987,792,,fresh[JJ],fresh
9988,792,,snow[NN],snow
9989,792,,.[.],.
9990,792,"Stick to areas with gentle terrain or well-established, maintained paths.",stick[NN],stick
9991,793,,to[TO],to
9992,793,,areas[NNS],area
9993,793,,with[IN],with
9994,793,,gentle[JJ],gentle
9995,793,,terrain[NN],terrain
9996,793,,or[CC],or
9997,793,,well-established[JJ],well-established
9998,793,,",[,]",","
9999,793,,maintained[JJ],maintained
10000,793,,paths[NNS],path
10001,793,,.[.],.
10002,793,5.,5[CD],5
10003,794,,.[.],.
10004,794,Accessible Roads: Maintained roads mean you can actually get to the trailhead.,accessible[JJ],accessible
10005,795,,roads[NNS],road
10006,795,,:[:],:
10007,795,,maintained[VBN],maintain
10008,795,,roads[NNS],road
10009,795,,mean[IN],mean
10010,795,,you[PRP],you
10011,795,,can[MD],can
10012,795,,actually[RB],actually
10013,795,,get[VB],get
10014,795,,to[TO],to
10015,795,,the[DT],the
10016,795,,trailhead[NN],trailhead
10017,795,,.[.],.
10018,795,"Here are some of the most pleasant winter hiking areas in Colorado, generally categorized by region:",here[RB],here
10019,796,,are[VBP],be
10020,796,,some[DT],some
10021,796,,of[IN],of
10022,796,,the[DT],the
10023,796,,most[RBS],most
10024,796,,pleasant[JJ],pleasant
10025,796,,winter[NN],winter
10026,796,,hiking[VBG],hike
10027,796,,areas[NNS],area
10028,796,,in[IN],in
10029,796,,colorado[NN],colorado
10030,796,,",[,]",","
10031,796,,generally[RB],generally
10032,796,,categorized[VBN],categorize
10033,796,,by[IN],by
10034,796,,region[NN],region
10035,796,,:[:],:
10036,796,,#[#],#
10037,797,### Front Range Gems (Most Accessible & Often Mildest Conditions),#[#],#
10038,797,,#[#],#
10039,797,,front[JJ],front
10040,797,,range[NN],range
10041,797,,gems[NNS],gem
10042,797,,([(],(
10043,797,,most[RBS],most
10044,797,,accessible[JJ],accessible
10045,797,,&[CC],&
10046,797,,often[RB],often
10047,797,,mildest[JJS],mild
10048,797,,conditions[NNS],condition
10049,797,,)[)],)
10050,797,"These are great for day trips from Denver, Boulder, or Colorado Springs.",these[DT],these
10051,798,,are[VBP],be
10052,798,,great[JJ],great
10053,798,,for[IN],for
10054,798,,day[NN],day
10055,798,,trips[NNS],trip
10056,798,,from[IN],from
10057,798,,denver[NN],denver
10058,798,,",[,]",","
10059,798,,boulder[NN],boulder
10060,798,,",[,]",","
10061,798,,or[CC],or
10062,798,,colorado[JJ],colorado
10063,798,,springs[NNS],spring
10064,798,,.[.],.
10065,798,1.,1[CD],1
10066,799,,.[.],.
10067,799,Boulder Flatirons (Chautauqua Park),boulder[NN],boulder
10068,800,,flatirons[NNS],flatiron
10069,800,,([(],(
10070,800,,chautauqua[VB],chautauqua
10071,800,,park[NN],park
10072,800,,)[)],)
10073,800,"Why it's pleasant: Iconic views, multiple trail options (some steeper, some gentler), good sun exposure on many trails, frequently packed snow or even dry sections.",why[WRB],why
10074,801,,it[PRP],it
10075,801,,'s[VBZ],'s
10076,801,,pleasant[JJ],pleasant
10077,801,,:[:],:
10078,801,,iconic[JJ],iconic
10079,801,,views[NNS],view
10080,801,,",[,]",","
10081,801,,multiple[JJ],multiple
10082,801,,trail[NN],trail
10083,801,,options[NNS],option
10084,801,,([(],(
10085,801,,some[DT],some
10086,801,,steeper[NN],steeper
10087,801,,",[,]",","
10088,801,,some[DT],some
10089,801,,gentler[NN],gentler
10090,801,,)[)],)
10091,801,,",[,]",","
10092,801,,good[JJ],good
10093,801,,sun[NN],sun
10094,801,,exposure[NN],exposure
10095,801,,on[IN],on
10096,801,,many[JJ],many
10097,801,,trails[NNS],trail
10098,801,,",[,]",","
10099,801,,frequently[RB],frequently
10100,801,,packed[VBN],pack
10101,801,,snow[NN],snow
10102,801,,or[CC],or
10103,801,,even[RB],even
10104,801,,dry[JJ],dry
10105,801,,sections[NNS],section
10106,801,,.[.],.
10107,801,Microspikes are often useful but sometimes not strictly necessary.,microspikes[NNS],microspikes
10108,802,,are[VBP],be
10109,802,,often[RB],often
10110,802,,useful[JJ],useful
10111,802,,but[CC],but
10112,802,,sometimes[RB],sometimes
10113,802,,not[RB],not
10114,802,,strictly[RB],strictly
10115,802,,necessary[JJ],necessary
10116,802,,.[.],.
10117,802,Close to amenities.,close[VB],close
10118,803,,to[TO],to
10119,803,,amenities[NNS],amenity
10120,803,,.[.],.
10121,803,"Trails to consider: Mesa Trail (portions), Royal Arch (can be icy and steep near the top), Bluebell Loop, Baseline Trail.",trails[NNS],trail
10122,804,,to[TO],to
10123,804,,consider[VB],consider
10124,804,,:[:],:
10125,804,,mesa[NN],mesa
10126,804,,trail[NN],trail
10127,804,,([(],(
10128,804,,portions[NNS],portion
10129,804,,)[)],)
10130,804,,",[,]",","
10131,804,,royal[JJ],royal
10132,804,,arch[NN],arch
10133,804,,([(],(
10134,804,,can[MD],can
10135,804,,be[VB],be
10136,804,,icy[VBN],icy
10137,804,,and[CC],and
10138,804,,steep[JJ],steep
10139,804,,near[IN],near
10140,804,,the[DT],the
10141,804,,top[NN],top
10142,804,,)[)],)
10143,804,,",[,]",","
10144,804,,bluebell[RB],bluebell
10145,804,,loop[RB],loop
10146,804,,",[,]",","
10147,804,,baseline[JJ],baseline
10148,804,,trail[NN],trail
10149,804,,.[.],.
10150,804,"Gear: Layers, water, and microspikes are highly recommended.",gear[NN],gear
10151,805,,:[:],:
10152,805,,layers[NNS],layer
10153,805,,",[,]",","
10154,805,,water[NN],water
10155,805,,",[,]",","
10156,805,,and[CC],and
10157,805,,microspikes[NNS],microspikes
10158,805,,are[VBP],be
10159,805,,highly[RB],highly
10160,805,,recommended[VBN],recommend
10161,805,,.[.],.
10162,805,2.,2[CD],2
10163,806,,.[.],.
10164,806,Garden of the Gods Park (Colorado Springs),garden[NN],garden
10165,807,,of[IN],of
10166,807,,the[DT],the
10167,807,,gods[NNS],god
10168,807,,park[NN],park
10169,807,,([(],(
10170,807,,colorado[JJ],colorado
10171,807,,springs[NNS],spring
10172,807,,)[)],)
10173,807,Why it's pleasant: Stunning red rock formations dusted with snow are incredibly picturesque.,why[WRB],why
10174,808,,it[PRP],it
10175,808,,'s[VBZ],'s
10176,808,,pleasant[JJ],pleasant
10177,808,,:[:],:
10178,808,,stunning[JJ],stunning
10179,808,,red[JJ],red
10180,808,,rock[NN],rock
10181,808,,formations[NNS],formation
10182,808,,dusted[VBN],dust
10183,808,,with[IN],with
10184,808,,snow[NNS],snow
10185,808,,are[VBP],be
10186,808,,incredibly[RB],incredibly
10187,808,,picturesque[JJ],picturesque
10188,808,,.[.],.
10189,808,Many paved and unpaved easy trails suitable for all levels.,many[JJ],many
10190,809,,paved[VBD],pave
10191,809,,and[CC],and
10192,809,,unpaved[JJ],unpaved
10193,809,,easy[JJ],easy
10194,809,,trails[NNS],trail
10195,809,,suitable[JJ],suitable
10196,809,,for[IN],for
10197,809,,all[DT],all
10198,809,,levels[NNS],level
10199,809,,.[.],.
10200,809,"Very accessible, generally lower elevation, and often has less snow than mountain areas.",very[RB],very
10201,810,,accessible[JJ],accessible
10202,810,,",[,]",","
10203,810,,generally[RB],generally
10204,810,,lower[JJR],low
10205,810,,elevation[NN],elevation
10206,810,,",[,]",","
10207,810,,and[CC],and
10208,810,,often[RB],often
10209,810,,has[VBZ],have
10210,810,,less[JJR],less
10211,810,,snow[JJ],snow
10212,810,,than[IN],than
10213,810,,mountain[NN],mountain
10214,810,,areas[NNS],area
10215,810,,.[.],.
10216,810,"Trails to consider: Central Garden Trail, Perkins Central Garden Trail (paved), Palmer Trail.",trails[NNS],trail
10217,811,,to[TO],to
10218,811,,consider[VB],consider
10219,811,,:[:],:
10220,811,,central[JJ],central
10221,811,,garden[NN],garden
10222,811,,trail[NN],trail
10223,811,,",[,]",","
10224,811,,perkins[VBZ],perkins
10225,811,,central[JJ],central
10226,811,,garden[NN],garden
10227,811,,trail[NN],trail
10228,811,,([(],(
10229,811,,paved[VBN],pave
10230,811,,)[)],)
10231,811,,",[,]",","
10232,811,,palmer[JJ],palmer
10233,811,,trail[NN],trail
10234,811,,.[.],.
10235,811,"Gear: Good walking shoes are usually sufficient, but microspikes might be helpful on any icy spots on unpaved trails.",gear[NN],gear
10236,812,,:[:],:
10237,812,,good[JJ],good
10238,812,,walking[NN],walking
10239,812,,shoes[NNS],shoe
10240,812,,are[VBP],be
10241,812,,usually[RB],usually
10242,812,,sufficient[JJ],sufficient
10243,812,,",[,]",","
10244,812,,but[CC],but
10245,812,,microspikes[NNS],microspikes
10246,812,,might[MD],might
10247,812,,be[VB],be
10248,812,,helpful[JJ],helpful
10249,812,,on[IN],on
10250,812,,any[DT],any
10251,812,,icy[JJ],icy
10252,812,,spots[NNS],spot
10253,812,,on[IN],on
10254,812,,unpaved[JJ],unpaved
10255,812,,trails[NNS],trail
10256,812,,.[.],.
10257,812,3.,3[CD],3
10258,813,,.[.],.
10259,813,Golden Gate Canyon State Park (Near Golden/Black Hawk),golden[JJ],golden
10260,814,,gate[NN],gate
10261,814,,canyon[NN],canyon
10262,814,,state[NN],state
10263,814,,park[NN],park
10264,814,,([(],(
10265,814,,near[IN],near
10266,814,,golden/black[NN],golden/black
10267,814,,hawk[NN],hawk
10268,814,,)[)],)
10269,814,"Why it's pleasant: A bit higher in elevation than Boulder, but still very manageable.",why[WRB],why
10270,815,,it[PRP],it
10271,815,,'s[VBZ],'s
10272,815,,pleasant[JJ],pleasant
10273,815,,:[:],:
10274,815,,a[DT],a
10275,815,,bit[NN],bit
10276,815,,higher[RBR],higher
10277,815,,in[IN],in
10278,815,,elevation[NN],elevation
10279,815,,than[IN],than
10280,815,,boulder[NN],boulder
10281,815,,",[,]",","
10282,815,,but[CC],but
10283,815,,still[RB],still
10284,815,,very[RB],very
10285,815,,manageable[JJ],manageable
10286,815,,.[.],.
10287,815,"Offers diverse terrain, from forests to meadows and overlooks.",offers[NNS],offer
10288,816,,diverse[JJ],diverse
10289,816,,terrain[NN],terrain
10290,816,,",[,]",","
10291,816,,from[IN],from
10292,816,,forests[NNS],forest
10293,816,,to[TO],to
10294,816,,meadows[NNS],meadow
10295,816,,and[CC],and
10296,816,,overlooks[NNS],overlook
10297,816,,.[.],.
10298,816,Less crowded than RMNP or Chautauqua.,less[RBR],less
10299,817,,crowded[JJ],crowded
10300,817,,than[IN],than
10301,817,,rmnp[NN],rmnp
10302,817,,or[CC],or
10303,817,,chautauqua[NN],chautauqua
10304,817,,.[.],.
10305,817,"Good for snowshoeing after fresh snow, or microspikes on packed trails.",good[JJ],good
10306,818,,for[IN],for
10307,818,,snowshoeing[VBG],snowshoe
10308,818,,after[IN],after
10309,818,,fresh[JJ],fresh
10310,818,,snow[NN],snow
10311,818,,",[,]",","
10312,818,,or[CC],or
10313,818,,microspikes[NNS],microspikes
10314,818,,on[IN],on
10315,818,,packed[JJ],packed
10316,818,,trails[NNS],trail
10317,818,,.[.],.
10318,818,"Trails to consider: Coyote Trail, Burro Trail, Blue Grouse Trail, Panorama Point (for views).",trails[NNS],trail
10319,819,,to[TO],to
10320,819,,consider[VB],consider
10321,819,,:[:],:
10322,819,,coyote[NN],coyote
10323,819,,trail[NN],trail
10324,819,,",[,]",","
10325,819,,burro[NN],burro
10326,819,,trail[NN],trail
10327,819,,",[,]",","
10328,819,,blue[JJ],blue
10329,819,,grouse[NN],grouse
10330,819,,trail[NN],trail
10331,819,,",[,]",","
10332,819,,panorama[NN],panorama
10333,819,,point[NN],point
10334,819,,([(],(
10335,819,,for[IN],for
10336,819,,views[NNS],view
10337,819,,)[)],)
10338,819,,.[.],.
10339,819,"Gear: Snowshoes or microspikes, depending on recent snowfall.",gear[NN],gear
10340,820,,:[:],:
10341,820,,snowshoes[NNS],snowshoe
10342,820,,or[CC],or
10343,820,,microspikes[NNS],microspikes
10344,820,,",[,]",","
10345,820,,depending[VBG],depend
10346,820,,on[IN],on
10347,820,,recent[JJ],recent
10348,820,,snowfall[NN],snowfall
10349,820,,.[.],.
10350,820,Park pass required.,park[JJ],park
10351,821,,pass[NN],pas
10352,821,,required[VBN],require
10353,821,,.[.],.
10354,821,4.,4[CD],4
10355,822,,.[.],.
10356,822,Staunton State Park (Near Pine/Conifer),staunton[NN],staunton
10357,823,,state[NN],state
10358,823,,park[NN],park
10359,823,,([(],(
10360,823,,near[IN],near
10361,823,,pine/conifer[NN],pine/conifer
10362,823,,)[)],)
10363,823,"Why it's pleasant: Colorado's newest state park, it's beautifully maintained with a variety of trails through forests, along creeks, and to high points with views.",why[WRB],why
10364,824,,it[PRP],it
10365,824,,'s[VBZ],'s
10366,824,,pleasant[JJ],pleasant
10367,824,,:[:],:
10368,824,,colorado[NN],colorado
10369,824,,'s[POS],'s
10370,824,,newest[JJS],new
10371,824,,state[NN],state
10372,824,,park[NN],park
10373,824,,",[,]",","
10374,824,,it[PRP],it
10375,824,,'s[VBZ],'s
10376,824,,beautifully[RB],beautifully
10377,824,,maintained[VBN],maintain
10378,824,,with[IN],with
10379,824,,a[DT],a
10380,824,,variety[NN],variety
10381,824,,of[IN],of
10382,824,,trails[NNS],trail
10383,824,,through[IN],through
10384,824,,forests[NNS],forest
10385,824,,",[,]",","
10386,824,,along[IN],along
10387,824,,creeks[NN],creek
10388,824,,",[,]",","
10389,824,,and[CC],and
10390,824,,to[TO],to
10391,824,,high[JJ],high
10392,824,,points[NNS],point
10393,824,,with[IN],with
10394,824,,views[NNS],view
10395,824,,.[.],.
10396,824,Fewer crowds than more established spots.,fewer[JJR],few
10397,825,,crowds[NN],crowd
10398,825,,than[IN],than
10399,825,,more[RBR],more
10400,825,,established[JJ],established
10401,825,,spots[NNS],spot
10402,825,,.[.],.
10403,825,"Trails to consider: Mason Creek Trail, Staunton Ranch Trail, Elk Falls Trail (can be longer and more challenging).",trails[NNS],trail
10404,826,,to[TO],to
10405,826,,consider[VB],consider
10406,826,,:[:],:
10407,826,,mason[NN],mason
10408,826,,creek[NN],creek
10409,826,,trail[NN],trail
10410,826,,",[,]",","
10411,826,,staunton[NN],staunton
10412,826,,ranch[NN],ranch
10413,826,,trail[NN],trail
10414,826,,",[,]",","
10415,826,,elk[VBP],elk
10416,826,,falls[NNS],fall
10417,826,,trail[VBP],trail
10418,826,,([(],(
10419,826,,can[MD],can
10420,826,,be[VB],be
10421,826,,longer[JJR],long
10422,826,,and[CC],and
10423,826,,more[RBR],more
10424,826,,challenging[JJ],challenging
10425,826,,)[)],)
10426,826,,.[.],.
10427,826,"Gear: Microspikes are often essential, snowshoes after significant fresh snow.",gear[NN],gear
10428,827,,:[:],:
10429,827,,microspikes[NNS],microspikes
10430,827,,are[VBP],be
10431,827,,often[RB],often
10432,827,,essential[JJ],essential
10433,827,,",[,]",","
10434,827,,snowshoes[NNS],snowshoe
10435,827,,after[IN],after
10436,827,,significant[JJ],significant
10437,827,,fresh[JJ],fresh
10438,827,,snow[NN],snow
10439,827,,.[.],.
10440,827,Park pass required.,park[JJ],park
10441,828,,pass[NN],pas
10442,828,,required[VBN],require
10443,828,,.[.],.
10444,828,5.,5[CD],5
10445,829,,.[.],.
10446,829,Maxwell Falls (Evergreen),maxwell[NN],maxwell
10447,830,,falls[VBZ],fall
10448,830,,([(],(
10449,830,,evergreen[JJ],evergreen
10450,830,,)[)],)
10451,830,Why it's pleasant: A popular shorter hike that leads to frozen waterfalls.,why[WRB],why
10452,831,,it[PRP],it
10453,831,,'s[VBZ],'s
10454,831,,pleasant[JJ],pleasant
10455,831,,:[:],:
10456,831,,a[DT],a
10457,831,,popular[JJ],popular
10458,831,,shorter[NN],shorter
10459,831,,hike[NN],hike
10460,831,,that[WDT],that
10461,831,,leads[VBZ],lead
10462,831,,to[TO],to
10463,831,,frozen[VB],freeze
10464,831,,waterfalls[NNS],waterfall
10465,831,,.[.],.
10466,831,Can be very scenic with snow and ice.,can[MD],can
10467,832,,be[VB],be
10468,832,,very[RB],very
10469,832,,scenic[JJ],scenic
10470,832,,with[IN],with
10471,832,,snow[JJ],snow
10472,832,,and[CC],and
10473,832,,ice[NN],ice
10474,832,,.[.],.
10475,832,"Gear: Microspikes are usually critical, as sections can be very icy.",gear[NN],gear
10476,833,,:[:],:
10477,833,,microspikes[NNS],microspikes
10478,833,,are[VBP],be
10479,833,,usually[RB],usually
10480,833,,critical[JJ],critical
10481,833,,",[,]",","
10482,833,,as[IN],a
10483,833,,sections[NNS],section
10484,833,,can[MD],can
10485,833,,be[VB],be
10486,833,,very[RB],very
10487,833,,icy[RB],icy
10488,833,,.[.],.
10489,833,,#[#],#
10490,834,### Mountain Town Areas (Great for Snowshoeing & Cross-Country Skiing),#[#],#
10491,834,,#[#],#
10492,834,,mountain[NN],mountain
